Huh?,Huh?
And you're still demolishing everyone else?,And you're still demolishing everyone else?
[fembro_nouns[0]!c] has trouble looking you in the eyes.,[fembro_nouns[0]!c] has trouble looking you in the eyes.
I just like standing like that.,I just like standing like that.
"I got used to it, I guess.","I got used to it, I guess."
It's nice to see [fembro.name] relaxing every once in a while.,It's nice to see [fembro.name] relaxing every once in a while.
Mom works [fembro_nouns[1]] pretty hard around the house.,Mom works [fembro_nouns[1]] pretty hard around the house.
You squeeze into bed beside [fembro.name].,You squeeze into bed beside [fembro.name].
Wow...,Wow...
Huh?,Huh?
And you're still demolishing everyone else?,And you're still demolishing everyone else?
[fembro_nouns[0]!c] has trouble looking you in the eyes.,[fembro_nouns[0]!c] has trouble looking you in the eyes.
I just like standing like that.,I just like standing like that.
"I got used to it, I guess.","I got used to it, I guess."
It's nice to see [fembro.name] relaxing every once in a while.,It's nice to see [fembro.name] relaxing every once in a while.
Mom works [fembro_nouns[1]] pretty hard around the house.,Mom works [fembro_nouns[1]] pretty hard around the house.
You squeeze into bed beside [fembro.name].,You squeeze into bed beside [fembro.name].
Now you know why [aunt.name] can knock people out.,Now you know why [aunt.name] can knock people out.
You bet [aunt.name] could bench press you easily.,You bet [aunt.name] could bench press you easily.
You feel like cooking food.,You feel like cooking food.
"Nah, I'm good. Thanks anyway though.","Nah, I'm good. Thanks anyway though."
What's that white stuff you're putting in the eggs?,What's that white stuff you're putting in the eggs?
The shells.,The shells.
You pause for a good while.,You pause for a good while.
Would you rather I eat it all raw.,Would you rather I eat it all raw.
Your look of horror says it all.,Your look of horror says it all.
"You're pretty sure she's joking, but you don't want to test it.","You're pretty sure she's joking, but you don't want to test it."
You're up pretty late.,You're up pretty late.
"Oh, well...","Oh, well..."
"Relax, you're a 'grown-up' now.","Relax, you're a 'grown-up' now."
I'm not going to spank you or anything.,I'm not going to spank you or anything.
Unless you want me to.,Unless you want me to.
I prefer to be the one doing the spanking.,I prefer to be the one doing the spanking.
She clears her throat and gets back to organizing the spices.,She clears her throat and gets back to organizing the spices.
...,...
Good to know.,Good to know.
Your voice cracked.,Your voice cracked.
...,...
...,...
...,...
Hey mo-,Hey mo-
"There's never anything good on TV, even now.","There's never anything good on TV, even now."
"There's [fembro.name], still failing miserably to massage your mother.","There's [fembro.name], still failing miserably to massage your mother."
You think [fembro_nouns[0]]'s making the stress worse...,You think [fembro_nouns[0]]'s making the stress worse...
"When you step over, [fembro.name] pleads silently for you not to let Mom see you.","When you step over, [fembro.name] pleads silently for you not to let Mom see you."
[fembro_nouns[0]!c] really wants to do a good job on [fembro_nouns[2]] own.,[fembro_nouns[0]!c] really wants to do a good job on [fembro_nouns[2]] own.
You're rooting for [fembro_nouns[1]].,You're rooting for [fembro_nouns[1]].
And hoping Mom can survive.,And hoping Mom can survive.
What is this ad.,What is this ad.
"Your mom's savvy enough to know that the internet is full of scams, but not aware enough to know they're fake.","Your mom's savvy enough to know that the internet is full of scams, but not aware enough to know they're fake."
She really believes that Nigerian princes are begging for money.,She really believes that Nigerian princes are begging for money.
But she doesn't trust them to pay her back.,But she doesn't trust them to pay her back.
"[main.name], how do these people know where we live?","[main.name], how do these people know where we live?"
!!!,!!!
What?!,What?!
This ad a while back said there are desperate milfs in our area.,This ad a while back said there are desperate milfs in our area.
"I asked [bigsis.name] what a milf was, and she said I was one.","I asked [bigsis.name] what a milf was, and she said I was one."
Now the same ad is showing our town.,Now the same ad is showing our town.
...,...
"[bigsis.name], you suck!","[bigsis.name], you suck!"
And swallow!,And swallow!
What would you even need with this?,What would you even need with this?
Each person has a towel for every part of the body.,Each person has a towel for every part of the body.
I only need one.,I only need one.
Migraine pills.,Migraine pills.
The family's greatest weapon.,The family's greatest weapon.
Rather clean for a toilet.,Rather clean for a toilet.
I don't need to go.,I don't need to go.
"Oh, hey [main.name], do you want me to cook something for you?","Oh, hey [main.name], do you want me to cook something for you?"
Huh... I didn't know [fembro.name] could cook.,Huh... I didn't know [fembro.name] could cook.
This controls the power.,This controls the power.
Now we're playing with power.,Now we're playing with power.
"Man, I'm a pervert.","Man, I'm a pervert."
We all know what you're thinking,We all know what you're thinking
Too much stuff to sort through.,Too much stuff to sort through.
Is that a frog?,Is that a frog?
